, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2 days ago,1,1, New York ,2750,725,NY ,10026,40 W 116th St APT B501
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3 days ago,1,2, New York ,2700,NA,NY ,10026,24 W 111th St APT 4B
7,3 days ago,1,1, New York ,2900,970,NY ,10026,1400 5th Ave APT 3A
8,3 days ago,1,1, New York ,1900,NA,NY ,10026,135 W 115th St APT 2A
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4 days ago,1,1, New York ,2100,NA,NY ,10026,276 W 117th St APT 3C
11,4 days ago,NA,1, New York ,2000,NA,NY ,10026,2166 Frederick Douglass Blvd APT 2O
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4 days ago,1,3, New York ,3750,NA,NY ,10026,W 111th St
15,6 days ago,NA,1, New York ,1995,NA,NY ,10026,2216 Frederick Douglass Blvd APT 2A
16,6 days ago,1,2, New York ,2520,700,NY ,10026,279 W 119th St APT 5A
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,9 days ago,1,1, New York ,1850,900,NY ,10026,81 W 119th St # 1
23,9 days ago,NA,1, New York ,1895,NA,NY ,10026,145 W 118th St APT 4A
24,9 days ago,1,1, New York ,2795,NA,NY ,10026,207 W 115th St APT 8
25,10 days ago,1,3, New York ,3499,NA,NY ,10026,230 W 113th St APT 4C
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
