, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6 days ago,1,2, New York ,2650,749,NY ,10037,630 Lenox Ave APT 16D
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9 days ago,3800,5, New York ,7000,NA,NY ,10037,20 W 131st St # 2B
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9 days ago,432,1, New York ,1800,NA,NY ,10037,40 W 135th St APT 17H
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10 days ago,1,2, New York ,2795,950,NY ,10037,13 E 131st St APT 5A
11,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13 days ago,1,1, New York ,2000,900,NY ,10037,14 E 130th St # 2
14,13 days ago,1,4, New York ,3500,NA,NY ,10037,471 Lenox Ave APT 3S
15,14 days ago,1,2, New York ,2250,NA,NY ,10037,2254 5th Ave APT 5
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,16 days ago,1,1, New York ,1740,NA,NY ,10037,33 W 131st St APT 3
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,20 days ago,1,3, New York ,2900,1100,NY ,10037,48 W 130th St APT 2
20,24 days ago,1,1, New York ,1741,NA,NY ,10037,2225 5th Ave APT 3H
21,24 days ago,1,2, New York ,2154,NA,NY ,10037,2190 Madison Ave APT 11F
22,27 days ago,749,2, New York ,2690,NA,NY ,10037,15 W 139th St APT 6D
23,34 days ago,NA,1, New York ,1600,NA,NY ,10037,48 W 138th St APT 5F
24,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
