, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,2 hours ago,NA,1, New York ,2395,NA,NY ,10011,248 W 17th St APT 601
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,4 hours ago,1,1, New York ,3695,NA,NY ,10011,555 W 23rd St # S15Q
7,4 hours ago,NA,1, New York ,1850,NA,NY ,10011,228 W 13th St APT 2C
8,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
9,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
10,15 hours ago,2,3, New York ,5995,NA,NY ,10011,35 W 16th St # 5995
11,19 hours ago,1,1, New York ,3495,NA,NY ,10011,156 W 20th St APT 4B
12,19 hours ago,NA,1, New York ,2300,NA,NY ,10011,149 W 12th St
13,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
14,20 hours ago,1,2, New York ,4550,NA,NY ,10011,60 W 14th St APT 8B
15,20 hours ago,1,1, New York ,3200,225,NY ,10011,123 Waverly Pl APT 4C
16,20 hours ago,1,1, New York ,3195,NA,NY ,10011,470 W 23rd St # 401
17,21 hours ago,1,1, New York ,3800,709,NY ,10011,170 W 23rd St
18,22 hours ago,1,1, New York ,4300,800,NY ,10011,435 W 23rd St APT 14A
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,22 hours ago,550,1, New York ,3000,NA,NY ,10011,415 W 23rd St APT 3D
21,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
22,1 day ago,1,1, New York ,3675,720,NY ,10011,300 W 21st St APT 33
23,1 day ago,NA,1, New York ,2800,NA,NY ,10011,445 W 19th St
24,Updated yesterday,NA,1, New York ,3195,NA,NY ,10011,27 W 16th St
25,1 day ago,1,1, New York ,6250,NA,NY ,10011,469 6th Ave # 2
26,1 day ago,1,1, New York ,7500,1050,NY ,10011,27 W 9th St APT 2
