, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,42 minutes ago,NA,3, New York ,3400,NA,NY ,10029,215 E 115th St # GARDEN
1,1 hour ago,NA,1, New York ,1600,NA,NY ,10029,315 E 108th St APT 4H
2,2 hours ago,1,2, New York ,2700,735,NY ,10029,1st Ave
3,3 hours ago,1,2, New York ,2650,735,NY ,10029,1st Ave
4,3 hours ago,1,3, New York ,3235,990,NY ,10029,1st Ave
5,3 hours ago,1,2, New York ,2595,735,NY ,10029,1st Ave
6,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
7,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
8,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
9,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
10,1 day ago,1,1, New York ,1925,NA,NY ,10029,349 E 104th St # 4B
11,1 day ago,406,1, New York ,2308,NA,NY ,10029,1501 Lexington Ave APT 8K
12,1 day ago,1,3, New York ,2700,NA,NY ,10029,1636 Lexington Ave APT 15
13,1 day ago,1,2, New York ,2450,750,NY ,10029,122 E 102nd St APT 4A
14,1 day ago,1,2, New York ,2000,NA,NY ,10029,160 E 107th St # 6B
15,1 day ago,1,1, New York ,1850,NA,NY ,10029,320 E 109th St APT 5G
16,1 day ago,NA,1, New York ,1699,NA,NY ,10029,119 E 97th St APT 1C
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2 days ago,1600,3, New York ,4900,NA,NY ,10029,242 E 110th St APT A
19,2 days ago,1,2, New York ,3200,950,NY ,10029,1642 Madison Ave # 2A
20,2 days ago,NA,1, New York ,1950,NA,NY ,10029,1798 3rd Ave APT 1A
21,2 days ago,400,1, New York ,1850,NA,NY ,10029,1794 3rd Ave APT 4B
22,2 days ago,1,1, New York ,1999,NA,NY ,10029,1634 Lexington Ave APT 1D
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3 days ago,2,2, New York ,3325,NA,NY ,10029,222 E 111th St APT 4G
25,4 days ago,1200,4, New York ,4120,NA,NY ,10029,1st Ave
26,4 days ago,NA,1, New York ,1400,NA,NY ,10029,E 116th St
