, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,1 hour ago,1,1, New York ,2150,NA,NY ,10016,138 E 34th St APT 5R
4,1 hour ago,1,1, New York ,2500,NA,NY ,10016,140 E 40th St APT 5B
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,1 hour ago,1,2, New York ,5300,NA,NY ,10016,36 E 36th St APT 9J
8,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
9,3 hours ago,1,1, New York ,2995,NA,NY ,10016,160 E 27th St APT 4C
10,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
11,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
12,3 hours ago,1,2, New York ,3700,800,NY ,10016,208 E 28th St APT 5L
13,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
14,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
15,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
16,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
17,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
19,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
20,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
21,8 hours ago,4,3, New York ,7950,2200,NY ,10016,248 E 31st St # 2A
22,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
23,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
24,9 hours ago,500,1, New York ,2150,NA,NY ,10016,108 Lexington Ave APT 5R
25,9 hours ago,500,1, New York ,2795,NA,NY ,10016,343 E 30th St APT 20G
26,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
