, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,1 hour ago,2,2, New York ,12000,1700,NY ,10012,133 Mercer St FL 4
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,3 hours ago,1,2, New York ,3750,NA,NY ,10012,95 Macdougal St APT 2B
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,8 hours ago,1,2, New York ,4095,700,NY ,10012,200 Bowery # B
6,22 hours ago,NA,1, New York ,6500,NA,NY ,10012,147 Spring St APT 2A
7,22 hours ago,2,4, New York ,8400,1800,NY ,10012,352 Bowery # 2
8,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
9,1 day ago,1,1, New York ,5400,NA,NY ,10012,425 W Broadway APT 2D
10,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
11,1 day ago,NA,1, New York ,1900,NA,NY ,10012,147 Elizabeth St APT 3B
12,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
13,1 day ago,1,2, New York ,3400,NA,NY ,10012,86 Kenmare St APT 17
14,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
15,1 day ago,2,2, New York ,9500,935,NY ,10012,250 Bowery APT 3A
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2 days ago,NA,1, Manhattan ,2275,NA,NY ,10012,64-66 Thompson St # 27
18,2 days ago,1,1, New York ,3995,NA,NY ,10012,89 Bleecker St APT 3D
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2 days ago,1,2, New York ,4995,NA,NY ,10012,14 Prince St APT 1A
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2 days ago,1,2, New York ,3600,NA,NY ,10012,172 Prince St APT 2B
23,2 days ago,NA,1, New York ,2799,NA,NY ,10012,145 Sullivan St APT 1B
24,2 days ago,1,2, New York ,4300,NA,NY ,10012,Mott St
25,2 days ago,1,1, New York ,7250,NA,NY ,10012,66 Crosby St APT 3E
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
