, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,9 hours ago,1,1, New York ,1800,650,NY ,10033,400 Fort Washington Ave APT 1F
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,1 day ago,1,1, New York ,1750,NA,NY ,10033,525 W 175th St APT 53
5,1 day ago,NA,1, New York ,1700,NA,NY ,10033,611 W 177th St # B5
6,1 day ago,1,1, New York ,1800,700,NY ,10033,511 W 181st St APT 32
7,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
8,2 days ago,2,3, New York ,3534,1360,NY ,10033,700 W 180th St APT 26
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4 days ago,1,1, New York ,1895,NA,NY ,10033,200 Haven Ave APT 5D
11,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,6 days ago,1,1, New York ,1725,NA,NY ,10033,702 W 176th St # 3N
15,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,7 days ago,1,4, New York ,3000,NA,NY ,10033,520 W 175th St APT 8I
18,8 days ago,1,2, Manhattan ,2300,NA,NY ,10033,540-546 W 180th # 54
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,9 days ago,1,1, New York ,1700,620,NY ,10033,700 W 176th St APT 4J
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,11 days ago,1,3, New York ,2812,NA,NY ,10033,1326 Riverside Dr APT 22
24,14 days ago,1,3, New York ,2200,NA,NY ,10033,600 W 187th St APT 45
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,14 days ago,1,1, New York ,1600,700,NY ,10033,1320 Riverside Dr APT 5M
