, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,3 hours ago,NA,2, New York ,4095,NA,NY ,10009,40 Avenue B APT 4W
2,3 hours ago,2,4, New York ,7495,NA,NY ,10009,199 E 3rd St APT 5A
3,3 hours ago,2,2, New York ,3600,NA,NY ,10009,132 Saint Marks Pl APT 4E
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,8 hours ago,1,2, New York ,3000,800,NY ,10009,168 Avenue B # 5
8,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
9,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
10,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
11,1 day ago,1,3, New York ,4095,775,NY ,10009,346 E 10th St APT 8
12,1 day ago,1,3, New York ,4125,NA,NY ,10009,621 E 6th St APT 4
13,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
14,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
15,1 day ago,1,2, New York ,3295,NA,NY ,10009,111 Saint Marks Pl APT 5
16,1 day ago,1,2, New York ,3750,NA,NY ,10009,545 E 12th St APT 2D
17,1 day ago,NA,1, New York ,1950,NA,NY ,10009,20 Avenue C APT 1A
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
21,1 day ago,1,2, New York ,2990,575,NY ,10009,631 E 11th St APT 12A
22,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
23,1 day ago,1,2, New York ,3375,800,NY ,10009,394 E 8th St # 16
24,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
25,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
26,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
