, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,9 hours ago,1,1, New York ,3850,NA,NY ,10007,18 Barclay St # 10D
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,1 day ago,2600,3, New York ,12950,NA,NY ,10007,90 W Broadway APT 12A
3,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
4,1 day ago,1,1, New York ,4395,NA,NY ,10007,10 Barclay St APT 28A
5,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
6,2 days ago,2,4, New York ,15900,1850,NY ,10007,106 Duane St APT 5
7,2 days ago,2,2, New York ,6190,NA,NY ,10007,89 Murray St # 29716
8,2 days ago,1,1, New York ,4000,815,NY ,10007,295 Greenwich St APT 4L
9,3 days ago,1,1, New York ,6200,1400,NY ,10007,73 Warren St APT 4
10,4 days ago,422,1, New York ,2550,NA,NY ,10007,275 Greenwich St # 5PS
11,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,13 days ago,1700,2, New York ,7995,NA,NY ,10007,6 Murray St FL 6
15,16 days ago,2,5, New York ,9000,2000,NY ,10007,311 Broadway APT 4B
16,16 days ago,NA,2, New York ,9995,NA,NY ,10007,51 Warren St APT 5E
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,34 days ago,2,2, New York ,14500,2300,NY ,10007,9 Murray St APT 12NE
20,37 days ago,2290,3, New York ,30000,NA,NY ,10007,71 Reade St # B
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,44 days ago,3,3, New York ,12000,1685,NY ,10007,200 Chambers St APT 15D
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,51 days ago,3500,5, New York ,18000,NA,NY ,10007,19 Murray St
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,122 days ago,3,3, New York ,20000,4000,NY ,10007,71 Murray St APT 2
