, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
5,2 days ago,2,2, New York ,5235,600,NY ,10044,405 Main St
6,14 days ago,1,1, New York ,3150,700,NY ,10044,455 Main St APT 15E
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,80 days ago,1200,4, New York ,4800,NA,NY ,10044,540 Main St APT 1036
10,83 days ago,1,1, New York ,2295,NA,NY ,10044,580 Main St APT 482
11,95 days ago,2,3, New York ,5195,1500,NY ,10044,20 River Rd APT 14C
12,208 days ago,NA,1, New York ,1895,NA,NY ,10044,546 Main St APT 919
