, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,47 minutes ago,NA,1, New York ,2550,NA,NY ,10023,329 W 76th St APT 2A
1,4 hours ago,1,2, New York ,4400,NA,NY ,10023,251 W 71st St APT 1C
2,4 hours ago,1,1, New York ,3300,700,NY ,10023,166 W 76th St APT 3F
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,6 hours ago,1,1, New York ,3600,650,NY ,10023,161 W 61st St APT 21H
6,Updated today,NA,1, New York ,2100,NA,NY ,10023,303 Amsterdam Ave
7,7 hours ago,NA,1, New York ,1800,NA,NY ,10023,276 W 71st St # 7
8,8 hours ago,1,1, New York ,3300,NA,NY ,10023,160 W 71st St APT 16S
9,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
10,9 hours ago,1,1, New York ,2950,NA,NY ,10023,146 W 75th St APT 2B
11,9 hours ago,1,1, New York ,2200,NA,NY ,10023,27 W 76th St APT 3A
12,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
13,11 hours ago,1,1, New York ,2195,NA,NY ,10023,317 W 71st St APT 1F
14,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
15,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
16,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,1 day ago,1,1, New York ,2495,NA,NY ,10023,136 W 72nd St APT 4R
21,1 day ago,1,1, New York ,2695,NA,NY ,10023,148 W 75th St # 3BB
22,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
23,1 day ago,1,1, New York ,2750,NA,NY ,10023,103 W 73rd St APT 3A
24,1 day ago,890,1, New York ,4900,NA,NY ,10023,160 W 66th St APT 31J
25,1 day ago,1,1, New York ,2795,NA,NY ,10023,36 W 75th St APT 4A
26,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
