, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4 days ago,1,1, New York ,2400,750,NY ,10030,229 W 139th St APT 1
5,7 days ago,NA,1, New York ,1500,NA,NY ,10030,194 Edgecombe Ave APT 4B
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,10 days ago,NA,1, New York ,1900,NA,NY ,10030,580 St Nicholas Ave APT 5A
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11 days ago,3,2, New York ,4500,1600,NY ,10030,206 W 139th St APT 1
11,11 days ago,1,2, New York ,2380,NA,NY ,10030,131 W 138th St APT 3B
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,12 days ago,NA,4, New York ,3100,NA,NY ,10030,2272 A C Powell Blvd
15,13 days ago,2,2, New York ,2550,NA,NY ,10030,319 W 134th St APT 2W
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,14 days ago,1,3, New York ,2700,NA,NY ,10030,201 W 135th St APT 4W
19,14 days ago,1,3, New York ,2600,NA,NY ,10030,80 Edgecombe Ave APT 15
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,14 days ago,1,2, Manhattan ,1975,NA,NY ,10030,2484 7th Ave # 2
23,14 days ago,1,1, New York ,1850,NA,NY ,10030,128 W 136th St APT 3
24,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,15 days ago,1,2, New York ,1850,600,NY ,10030,2593 Frederick Douglass Blvd APT 10
26,15 days ago,1,1, New York ,1800,700,NY ,10030,218 Edgecombe Ave # 2
