, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
7,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
8,22 hours ago,1,2, New York ,3795,800,NY ,10001,819 6th Ave APT 3B
9,1 day ago,1,2, New York ,2900,NA,NY ,10001,136 W 28th St APT 7W
10,1 day ago,NA,1, New York ,1995,NA,NY ,10001,26 W 27th St APT 2
11,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2 days ago,1,1, New York ,2699,NA,NY ,10001,237 9th Ave APT 3C
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2 days ago,2,5, New York ,10000,2500,NY ,10001,263 W 30th St FL 3
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3 days ago,NA,1, New York ,2285,NA,NY ,10001,433 W 34th St APT 7D
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3 days ago,1,1, New York ,3650,800,NY ,10001,W 31st St
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3 days ago,2,4, New York ,7195,NA,NY ,10001,126 W 25th St APT 5R
25,3 days ago,1036,1, New York ,5200,NA,NY ,10001,420 W 25th St APT 6B
26,4 days ago,1,2, New York ,3300,NA,NY ,10001,362 W 30th St # 3RW
