, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,1 hour ago,1,1, New York ,2780,NA,NY ,10022,106 E 60th St APT 5R
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
8,8 hours ago,NA,1, New York ,2250,NA,NY ,10022,242 E 53rd St # 21
9,9 hours ago,2034,2, New York ,19750,NA,NY ,10022,500 Park Ave APT 34B
10,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
11,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
12,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
13,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
14,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
15,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
16,1 day ago,2,2, New York ,4950,NA,NY ,10022,333 E 52nd St # 5PH
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
20,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
21,1 day ago,3,3, New York ,9500,2400,NY ,10022,306 E 52nd St
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2 days ago,2505,3, New York ,16000,NA,NY ,10022,300 E 55th St APT PHB
24,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2 days ago,1,1, New York ,2600,550,NY ,10022,405 E 51st St APT 1G
