, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,16 minutes ago,1,1, Manhattan ,3200,NA,NY ,10014,207-209 W 11 St # 6A
1,2 hours ago,840,1, New York ,7000,NA,NY ,10014,70 Perry St # 2
2,2 hours ago,1,2, New York ,3100,NA,NY ,10014,117 Perry St APT 20B
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,4 hours ago,420,1, New York ,2550,NA,NY ,10014,69 8th Ave APT 52
5,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,6 hours ago,370,1, New York ,2200,NA,NY ,10014,35 8th Ave # 1B
8,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
9,7 hours ago,1,2, New York ,3595,NA,NY ,10014,125 Washington Pl APT 6E
10,7 hours ago,1,1, New York ,3100,NA,NY ,10014,45 Carmine St APT 3G
11,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
12,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
13,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
14,10 hours ago,NA,1, New York ,3000,NA,NY ,10014,210 W 10th St APT 4D
15,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
16,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
17,18 hours ago,NA,1, New York ,3195,NA,NY ,10014,19 Jones St APT 4
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,1 day ago,1,2, New York ,2995,NA,NY ,10014,260 6th Ave APT 9
20,1 day ago,NA,1, New York ,2525,NA,NY ,10014,117 Charles St APT 3B
21,1 day ago,1,1, New York ,4200,NA,NY ,10014,281 W 11th St APT 4B
22,1 day ago,1,1, New York ,2895,NA,NY ,10014,521 Hudson St APT 3FN
23,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
24,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
25,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
26,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
