, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,6 hours ago,1,3, New York ,2245,NA,NY ,10031,1512 Amsterdam Ave APT 16A
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,10 hours ago,1,2, New York ,2400,NA,NY ,10031,556 W 141st St APT 4A
4,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
5,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
6,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2 days ago,NA,5, New York ,8950,NA,NY ,10031,16 Hamilton Ter # 1
10,2 days ago,1,3, New York ,2950,NA,NY ,10031,532 W 152nd St APT 44
11,2 days ago,1,3, New York ,2700,NA,NY ,10031,523 W 135th St APT 4C
12,3 days ago,1,1, New York ,1700,NA,NY ,10031,409 W 148th St # 2
13,3 days ago,1,2, New York ,2538,NA,NY ,10031,608 W 148th St # GF
14,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3 days ago,1,4, New York ,3900,NA,NY ,10031,507 W 139th St APT 3C
18,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,4 days ago,1,2, New York ,2000,746,NY ,10031,615 W 143rd St APT 35
20,4 days ago,350,1, New York ,1500,NA,NY ,10031,607 W 138th St APT 4
21,4 days ago,400,1, New York ,1695,NA,NY ,10031,628 W 138th St APT 3F
22,5 days ago,1,2, New York ,2299,750,NY ,10031,615 W 135th St APT 52
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,8 days ago,2,3, New York ,3300,1066,NY ,10031,479 W 152nd St APT 4B
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,8 days ago,NA,7, New York ,9995,NA,NY ,10031,Convent Ave
