, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,8 hours ago,1,2, New York ,2250,NA,NY ,10040,145 Nagle Ave APT 5E
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,1 day ago,1,2, New York ,2650,850,NY ,10040,700 Fort Washington Ave # 3IS
3,1 day ago,1100,2, New York ,2795,NA,NY ,10040,66 Overlook Ter # 22C
4,1 day ago,1,1, New York ,1895,600,NY ,10040,4501 Broadway APT 6H
5,2 days ago,1,1, New York ,1699,NA,NY ,10040,652 W 189th St APT 5C
6,3 days ago,1,2, New York ,3200,1000,NY ,10040,282 Cabrini Blvd # 1SG
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,8 days ago,2,2, New York ,2890,NA,NY ,10040,212 Bennett Ave APT 4A
11,8 days ago,1,1, New York ,1425,500,NY ,10040,200 Dyckman St APT 5H
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,9 days ago,NA,1, New York ,1500,NA,NY ,10040,75 Wadsworth Ter # 45
14,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,10 days ago,1,2, New York ,1975,NA,NY ,10040,22 Broadway Ter APT 2A
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,12 days ago,1,3, New York ,2295,NA,NY ,10040,516 W 188th St APT 31
19,13 days ago,1,3, New York ,2495,NA,NY ,10040,4740 Broadway # H5
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,14 days ago,1,2, New York ,2025,NA,NY ,10040,133 Fort George Ave APT 4C
23,15 days ago,1,1, New York ,2400,NA,NY ,10040,100 Overlook Ter APT 624
24,15 days ago,1,2, New York ,2300,NA,NY ,10040,25 Dongan Pl APT 3G
25,16 days ago,1,2, New York ,1895,800,NY ,10040,1 Arden St APT 315
26,16 days ago,1,2, New York ,1900,NA,NY ,10040,24 Thayer St APT 4C
