, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,2 hours ago,1,2, New York ,2800,NA,NY ,10002,115 Eldridge St APT 5
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,3 hours ago,2,3, New York ,5295,NA,NY ,10002,89 Clinton St APT 1F
6,4 hours ago,1,1, New York ,3095,700,NY ,10002,153 Essex St APT 3C
7,5 hours ago,1,1, New York ,2150,NA,NY ,10002,91 Clinton St APT 7
8,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
9,7 hours ago,1,1, New York ,2550,NA,NY ,10002,146 Forsyth St APT 5B
10,7 hours ago,1,2, New York ,3145,NA,NY ,10002,139 Essex St APT 3
11,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
12,8 hours ago,1,2, New York ,2700,NA,NY ,10002,139 Eldridge St APT 9
13,14 hours ago,1,1, New York ,2287,NA,NY ,10002,163 Ludlow St APT 2B
14,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
15,Updated yesterday,2,3, New York ,5000,650,NY ,10002,92 Rivington St
16,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,1 day ago,600,1, New York ,2997,NA,NY ,10002,15 Stanton St APT 2A
20,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
21,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
22,1 day ago,NA,1, New York ,2750,NA,NY ,10002,38 Orchard St # 3E
23,1 day ago,1,2, New York ,2875,NA,NY ,10002,72 Forsyth St APT 15
24,1 day ago,NA,2, New York ,2595,NA,NY ,10002,110 Madison St # TWENTY
25,2 days ago,1,1, New York ,3250,800,NY ,10002,568 Grand St APT J1902
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
