, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
1,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
2,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3 days ago,1,1, New York ,3525,760,NY ,10280,385 S End Ave # 4AA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3 days ago,3,3, New York ,8950,2200,NY ,10280,380 Rector Pl APT 25A
8,3 days ago,3,3, New York ,12500,1650,NY ,10280,377 Rector Pl # 20FG
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4 days ago,3,3, New York ,18000,3200,NY ,10280,350 Albany St PH 2
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,10 days ago,1,2, New York ,4846,800,NY ,10280,377 Rector Pl APT 24C
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,14 days ago,2,2, New York ,5250,NA,NY ,10280,380 Rector Pl APT 3M
18,15 days ago,1,1, New York ,3600,707,NY ,10280,380 Rector Pl APT 21B
19,15 days ago,613,1, New York ,3100,NA,NY ,10280,225 Rector Pl APT 3F
20,15 days ago,1,1, New York ,3375,550,NY ,10280,300 Albany St APT 2D
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,37 days ago,2,2, New York ,7000,1500,NY ,10280,350 Albany St # 10BC
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,53 days ago,1,1, New York ,3600,663,NY ,10280,200 Rector Pl APT 19K
