, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,3 hours ago,1000,2, New York ,7995,NA,NY ,10065,133 E 65th St APT 2
1,3 hours ago,NA,1, New York ,2500,NA,NY ,10065,205 E 68th St # T4B
2,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
3,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,3 hours ago,1,1, New York ,2595,NA,NY ,10065,342 E 65th St APT 4FE
6,3 hours ago,1,1, New York ,3250,550,NY ,10065,300 E 61st St APT 2E
7,6 hours ago,1,1, Manhattan ,3000,NA,NY ,10065,241 E 63rd # 2A
8,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
9,9 hours ago,1,1, New York ,2500,600,NY ,10065,1226 2nd Ave APT 2B
10,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
11,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
12,12 hours ago,NA,1, Manhattan ,2050,NA,NY ,10065,321 E 66 # 2B
13,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
14,1 day ago,2,2, New York ,14500,2100,NY ,10065,240 E 67th St APT B
15,1 day ago,2,2, New York ,18000,1650,NY ,10065,37 E 67th St APT 5A
16,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2 days ago,1,1, New York ,2895,NA,NY ,10065,345 E 65th St APT 2D
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA
