, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,1 hour ago,1,2, New York ,3900,NA,NY ,10024,140 W 82nd St APT 2
1,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
2,2 hours ago,1,1, New York ,3500,NA,NY ,10024,36 W 85th St APT 4
3,3 hours ago,2496,4, New York ,20000,NA,NY ,10024,230 W 78th St APT 11B
4,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
5,4 hours ago,2,1, New York ,2650,NA,NY ,10024,44 Riverside Dr APT 5B
6,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
7,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
8,5 hours ago,1,1, New York ,2385,NA,NY ,10024,330 W 86th St APT 1F
9,6 hours ago,2,2, New York ,7950,1562,NY ,10024,223 W 80th St APT 2
10,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
11,8 hours ago,1,2, New York ,3295,NA,NY ,10024,257 W 91st St # 3
12,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
13,10 hours ago,NA,1, New York ,1885,NA,NY ,10024,491 Columbus Ave APT 3C
14,11 hours ago,NA,1, New York ,1750,NA,NY ,10024,23 W 82nd St APT C
15,Updated today,NA,NA,NA,NA,NA,NA,NA,NA
16,11 hours ago,1,1, New York ,3325,NA,NY ,10024,370 Columbus Ave APT 3B
17,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
18,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
19,1 day ago,NA,1, New York ,2900,NA,NY ,10024,158 W 83rd St APT 6E
20,1 day ago,1,2, New York ,3690,NA,NY ,10024,203 W 85th St # 4**
21,1 day ago,1,1, New York ,4500,550,NY ,10024,142 W 86th St APT 5A
22,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
23,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
24,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
25,1 day ago,1,1, New York ,2100,NA,NY ,10024,483 Columbus Ave APT 1D
26,Updated yesterday,NA,NA,NA,NA,NA,NA,NA,NA
