,Dateonmarket,Bathrooms,Bedrooms,City,Monthly Rental,SQFT,State,Zip_Code,streetAddress
0,2017-04-22,2.0,6.0, Staten Island ,3000.0,2783.0,NY ,10301.0,135 Winter Ave
1,2017-04-21,1.0,2.0, Staten Island ,2000.0,1248.0,NY ,10301.0,202 Westervelt Avenue # FL 1ST
2,2017-04-21,1.0,1.0, Staten Island ,1625.0,1087.0,NY ,10301.0,850 Howard Ave
3,2017-04-19,3.0,4.0, Staten Island ,2400.0,1204.0,NY ,10301.0,12 Montgomery Ave
4,2017-04-19,1.0,2.0, Staten Island ,1650.0,1848.0,NY ,10301.0,31 Winter Ave
5,2017-04-19,1.0,2.0, Staten Island ,1650.0,1150.0,NY ,10301.0,Sunnyside Terrace #
6,2017-04-19,2.0,4.0, Staten Island ,2700.0,2700.0,NY ,10301.0,Layton Ave
7,2017-04-19,1.0,1.0, Staten Island ,1350.0,688.0,NY ,10301.0,215 Hart Blvd
8,2017-04-18,1.0,2.0, Staten Island ,1650.0,2030.0,NY ,10301.0,29 Winter Ave # 1
9,2017-04-13,1.0,1.0, Staten Island ,2000.0,3600.0,NY ,10301.0,9 Corson Ave
10,2017-04-13,1.0,2.0, Staten Island ,1699.0,800.0,NY ,10301.0,388 Richmond Ter APT 2C
11,2017-04-12,2.0,2.0, Staten Island ,3400.0,1100.0,NY ,10301.0,155 Bay Street 2-E FL 2
12,2017-04-09,1.0,3.0, Staten Island ,1900.0,2694.0,NY ,10301.0,Little Clove Rd
13,2017-04-08,2.0,1.0, Staten Island ,3050.0,1300.0,NY ,10301.0,80 Bay Street Lndg
14,2017-04-07,1.0,2.0, Staten Island ,1775.0,1000.0,NY ,10301.0,Victory Blvd
15,2017-04-07,1.0,3.0, Staten Island ,1800.0,2228.0,NY ,10301.0,350 Hoyt Ave # 1
16,2017-04-06,1.0,2.0, Staten Island ,1500.0,2872.0,NY ,10301.0,10 Egmont Pl
17,2017-03-27,1.0,2.0, Staten Island ,1600.0,2400.0,NY ,10301.0,(Undisclosed Address)
18,2017-03-23,1.0,3.0, Staten Island ,2000.0,936.0,NY ,10301.0,Little Clove Rd
19,2017-03-22,1.0,2.0, Staten Island ,1650.0,2275.0,NY ,10301.0,144 Silver Lake Rd
20,2017-03-04,1.0,1.0, Staten Island ,1600.0,850.0,NY ,10301.0,36 Hamilton Ave
21,2017-03-02,1.0,2.0, Staten Island ,1550.0,2200.0,NY ,10301.0,Oxholm Ave
22,2017-02-24,1.0,3.0, Staten Island ,2250.0,2772.0,NY ,10301.0,16 Avon Pl # 2
23,2017-02-13,1.0,2.0, Staten Island ,1500.0,800.0,NY ,10301.0,131 Labau Ave
24,2017-01-31,1.0,1.0, Staten Island ,1550.0,750.0,NY ,10301.0,85 Montgomery Ave APT 3F
25,2016-09-24,1.0,2.0, Staten Island ,1550.0,3150.0,NY ,10301.0,Oxholm Ave
26,2017-03-29,1.0,2.0, Staten Island ,1700.0,1000.0,NY ,10302.0,40 Jewett Ave # 1
27,2016-11-16,1.0,3.0, Staten Island ,2850.0,2500.0,NY ,10302.0,(Undisclosed Address)
28,2016-11-11,2.0,3.0, Staten Island ,2110.0,1400.0,NY ,10302.0,78 Jewett Ave # 2
29,2016-10-05,2.0,3.0, Staten Island ,15000.0,2300.0,NY ,10302.0,49 Walker St
30,2017-04-19,2.0,5.0, Staten Island ,2300.0,1881.0,NY ,10303.0,153 South Ave # 2
31,2017-04-18,1.0,2.0, Staten Island ,1600.0,1000.0,NY ,10303.0,126 Mersereau Avenue # FL 2ND
32,2017-04-12,1.0,3.0, Staten Island ,1900.0,1968.0,NY ,10303.0,Harbor Rd
33,2017-04-09,2.0,3.0, Staten Island ,2300.0,928.0,NY ,10303.0,135 Van Name Ave
34,2017-04-01,3.0,4.0, Staten Island ,2950.0,2346.0,NY ,10303.0,South Ave
35,2017-03-18,2.0,3.0, Staten Island ,2600.0,2436.0,NY ,10303.0,45 Union Avenue
36,2017-03-16,1.0,2.0, Staten Island ,1600.0,1000.0,NY ,10303.0,Continental Pl
37,2017-02-20,2.0,3.0, Staten Island ,2000.0,2230.0,NY ,10303.0,28 Fancher Pl
38,2017-04-22,1.0,2.0, Staten Island ,1825.0,850.0,NY ,10304.0,Tompkins St
39,2017-04-20,1.0,1.0, Staten Island ,1000.0,600.0,NY ,10304.0,45 Brownell St # 1R
40,2017-04-20,2.0,2.0, Staten Island ,2200.0,1840.0,NY ,10304.0,914 Van Duzer St
41,2017-04-18,1.0,2.0, Staten Island ,1600.0,2384.0,NY ,10304.0,Cromwell Ave
42,2017-04-15,2.0,3.0, Staten Island ,3600.0,1470.0,NY ,10304.0,50 Ridgefield Ave
43,2017-04-14,1.0,2.0, Staten Island ,1400.0,2930.0,NY ,10304.0,Alter Ave
44,2017-04-06,2.0,3.0, Staten Island ,2600.0,2016.0,NY ,10304.0,Chapin Ave
45,2017-04-06,1.0,2.0, Staten Island ,1800.0,1100.0,NY ,10304.0,585 Bay St # 2
46,2017-03-29,1.0,2.0, Staten Island ,1625.0,1196.0,NY ,10304.0,72 Meadow Avenue # FL 2ND
47,2017-03-26,1.0,3.0, Staten Island ,2000.0,1008.0,NY ,10304.0,412 Saint Pauls Avenue # FL 2ND
48,2017-03-21,2.0,3.0, Staten Island ,4400.0,2500.0,NY ,10304.0,520 Bay St
49,2017-02-21,1.0,2.0, Staten Island ,2100.0,1000.0,NY ,10304.0,Bay St
50,2017-02-13,1.0,3.0, Staten Island ,1800.0,3692.0,NY ,10304.0,Van Duzer St
51,2017-01-04,1.0,2.0, Staten Island ,1625.0,1924.0,NY ,10304.0,72 Meadow Ave
52,2016-01-20,1.0,3.0, Staten Island ,2250.0,1300.0,NY ,10304.0,864 Van Duzer St # 1
53,2015-12-24,2.0,3.0, Staten Island ,1950.0,1300.0,NY ,10304.0,11 Mosel Ave # 1
54,2017-04-21,1.0,1.0, Staten Island ,1100.0,800.0,NY ,10305.0,129 Hurlbert St
55,2017-04-21,2.0,3.0, Staten Island ,1680.0,945.0,NY ,10305.0,23 Windom Ave
56,2017-04-19,1.0,2.0, Staten Island ,1650.0,950.0,NY ,10305.0,135 Cedar Ave # 2NDFLR
57,2017-04-18,1.0,1.0, Staten Island ,1100.0,3080.0,NY ,10305.0,Jerome Rd
58,2017-04-18,1.0,1.0, Staten Island ,1200.0,2205.0,NY ,10305.0,Pebble Ln
59,2017-04-18,1.0,1.0, Staten Island ,1395.0,700.0,NY ,10305.0,121 Lyman Avenue # FL 1ST
60,2017-04-17,1.0,4.0, Staten Island ,3500.0,1248.0,NY ,10305.0,Buel Ave
61,2017-04-16,2.0,3.0, Staten Island ,2300.0,864.0,NY ,10305.0,Nautilus St
62,2017-04-13,1.0,3.0, Staten Island ,2500.0,900.0,NY ,10305.0,Hylan Blvd
63,2017-04-13,1.0,2.0, Staten Island ,1800.0,3400.0,NY ,10305.0,87 Vera St
64,2017-04-12,3.0,3.0, Staten Island ,3000.0,3000.0,NY ,10305.0,481 Father Capodanno Blvd
65,2017-04-09,2.0,3.0, Staten Island ,3500.0,1440.0,NY ,10305.0,45 Pouch Ter # HOUSE
66,2017-04-08,1.0,1.0, Staten Island ,1100.0,1952.0,NY ,10305.0,Virginia Ave
67,2017-04-07,1.0,2.0, Staten Island ,1700.0,2576.0,NY ,10305.0,74 Parkinson Ave
68,2017-04-02,1.0,2.0, Staten Island ,1500.0,2070.0,NY ,10305.0,73 Maryland Ave
69,2017-03-30,1.0,1.0, Staten Island ,1400.0,2224.0,NY ,10305.0,Windermere Rd
70,2017-03-28,1.0,2.0, Staten Island ,1650.0,1800.0,NY ,10305.0,135 Cedar Ave
